37   autre côté                    ot ko-te                      de l' autre côté parce
42   autre côté                    ot ko-te                      de l' autre côté !
73   descendre de                  de-s@d d2                     veux pas descendre de la
132  rentre là                     R@t la                        regarde il rentre là .
147  rentre pas                    R@t pa                        vois ça rentre pas là
148  rentre là                     R@t la                        oui ça rentre là .
177  rentre mieux                  R@t mj2                       non ça rentre mieux d(e) ce
194  être là                       Et la                         droit d' être là !
212  prendre la                    pR@d la                       tu vas prendre la poupée ?
253  rentres toi                   R@t twa                       tu rentres toi là d(e)dans ?
310  mettre le                     mEt l2                        on va mettre le toit
336  être dessous                  Et d°-su                      il doit être dessous !
372  être chez                     Et Se                         ils doivent être chez papi .
564  montres comment               m§t ko-m@                     tu me montres comment ça marche
880  être pas                      Et pa                         faut p(eu)t être pas trop mett(r)e
924  mettre devant                 mEt d°-v@                     vas l(e) mettre devant ?
1108 stable ça                     stab sa                       pas très stable ça #
1153 rentres plus                  R@t ply                       bientôt tu rentres plus dans l(e)
1205 être pas                      Et pa                         va p(eu)t être pas aimer
1216 livres de                     liv d2                        est des livres de Chloé
1313 autre côté                    ot ko-te                      par l' autre côté mimin
1342 être dans                     Et d@                         i(l) doit être dans la chambre
1342 chambre le                    S@b l2                        dans la chambre le biberon
1349 mettre sur                    mEt syR                       vas la mettre sur la
1404 autre côté                    ot ko-te                      d(e) l' autre côté .
1412 rentre pas                    R@t pa                        qu(e) ça rentre pas !
1420 prendre les                   pR@d lez                      ch(ercher) va prendre les autres
1420 autres balles                 ot bal                        prendre les autres balles là
1472 montre moi                    m§t mwa                       montre moi comment tu joues avec
1574 autre sens                    ot s@s                        dans l' autre sens .
1576 autre sens                    ot s@s                        dans l' autre sens Anaïs .
1577 autre sens                    ot s@s                        dans l' autre sens !
1598 autre sens                    ot s@s                        dans l' autre sens !
1618 peut-être d'                  p2-tEt d                      peut-être d' autres ?
1629 mettre là                     mEt la                        va l(e) mettre là .
1679 être contre                   Et k§tR                       tu dois être contre le mur
1679 contre le                     k§t l2                        dois être contre le mur
1708 pauvre malheureuse            pov ma-l2-R2z                 viens , pauvre malheureuse .
1782 prendre va                    pR@d va                       va s(e) prendre va prendre le
1782 prendre le                    pR@d l2                       prendre va prendre le sac
1792 mettre sur                    mEt syR                       veux l(e) mettre sur l(e)
1793 mettre sur                    mEt syR                       veux l(e) mettre sur l(e)
1794 être trop                     Et tRo                        va pas être trop lourd
1838 autre bras                    ot bRa                        l' autre bras , l' autre
1838 autre bras                    ot bRa                        , l' autre bras ,
1838 autre bras                    ot bRa                        , l' autre bras .
2008 peut-être le                  p2-tEt l2                     on va peut-être le défaire .
2098 ouvres le                     uv l2                         ah tu ouvres le tiroir ah
2101 prendre sur                   pR@d syR                      vas le prendre sur la
2112 autre de                      ot d2                         avoir un autre de chaque
2180 mettre le                     mEt l2                        va t(e) mettre le siège
2186 mettre le                     mEt l2                        on va mettre le siège
2274 autre chose                   ot Soz                        on trouve autre chose dans
2335 autre qui                     ot ki                         rien d' autre qui t'
2338 mettre la                     mEt la                        est pour mettre la main
2369 descendre les                 de-s@d le                     il faut descendre les pieds si
2409 contre je                     k§t Z2                        voilà par contre je les vois
2472 rentre pas                    R@t pa                        non il rentre pas là .
2486 mettre là                     mEt la                        pas le mettre là hein
2489 prendre le                    pR@d l2                       on va prendre le siège .
2513 être trop                     Et tRo                        ça va être trop bas aussi
2539 mettre dessus                 mEt d°-sy                     tu vas mettre dessus ?
2555 mettre dessous                mEt d°-su                     tu veux mettre dessous .
2557 rentre pas                    R@t pa                        ben ça rentre pas .
2580 mettre dessous                mEt d°-su                     de la mettre dessous mais
2584 atteindre la                  a-t5d la                      est pour atteindre la poignée
2593 remettre la                   R°-mEt la                     j(e) peux remettre la caméra dessus
2619 mettre dessus                 mEt d°-sy                     veux le mettre dessus ?
