2    pauvre Adrien                 pov Ra-dRi-j5                 , ce pauvre Adrien ,
4    t' as                         ta                           t' as pas l' air ravagé
4    l' air                        lER                          as pas l' air ravagé
4    l' esprit                     lEs-pRi                      ravagé par l' esprit ,
8    on essaye                     § ne-sEj                      on essaye d' en sortir un
8    d' en                         d@                           on essaye d' en sortir un
8    sortir un                     sOR-ti R1                     d' en sortir un non
9    il est                        i let                         il est un peu &ko .
9    est un                        le t1                         il est un peu &ko .
10   d' habitude                   da-bi-tyd                    d' habitude il a quand même
10   habitude il                   da-bi-ty dil                  d' habitude il a quand même
10   il a                          di la                         d' habitude il a quand même
10   l' oeil                       l9j                          quand même l' oeil plus
12   j' ai                         ZE                           j' ai remarqué , l' autre
12   l' autre                      lot                          remarqué , l' autre jour
12   il avait                      i la-vE                       jour , il avait la
12   d' échecs                     de-SEk                       du jeu d' échecs et
12   échecs et                     de-SE ke                      jeu d' échecs et alors
12   alors il                      a-lO Ril                      échecs et alors il s'
12   s' amusait                    sa-my-zE                     alors il s' amusait à
12   mettre une                    mEt Ryn                       amusait à mettre une pièce
13   dans une                      d@ zyn                        une pièce dans une case
13   quand il                      k@ til                        et alors quand il avait
13   il avait                      ti la-vE                      alors quand il avait réussi
15   vous en                       vu z@                         je vous en citerai d' autres
15   d' autres                     dotR                         en citerai d' autres ,
15   très intéressants             tRE z5-te-RE-s@               qui sont très intéressants ,
16   j' en                         Z@n                          j' en ai noté ce matin
16   en ai                         Z@ nE                         j' en ai noté ce matin
17   on a                          § na                          on a déjà beaucoup parlé et
17   j' ai                         ZE                           parlé et j' ai noté
17   d' énoncés                    de-n§-se                     pas mal d' énoncés et
17   des interactions              de z5-tE-Rak-sj§              y avait des interactions longues
18   alors y                       a-lO Ri                       et puis alors y avait
18   une autre                     y not                         y avait une autre chose
19   comme ouvrir                  kO mu-vRiR                    quelque chose comme ouvrir ou
19   ouvrir ou                     mu-vRi Ru                     chose comme ouvrir ou ouvert
22   il est                        i le                          il est capable de dire les
22   il a                          i la                          deux , il a pas
22   quand il                      k@ til                        distingué mais quand il demande
22   c' est                        se                           demande , c' est plutôt
24   c' est                        se                           ouvert c' est plutôt voilà ouvert
25   l' usage                      ly-zaZ                       plutôt dans l' usage ,
25   bon usage                     bO ny-zaZ                     dans le bon usage .
26   c' est                        se                           ouais c' est plutôt .
28   c' est                        se                           ça c' est * , non
28   il y                          i li                          , sinon il y a
28   l' intéresserait              l5-te-RE-sRE                 scène qui l' intéresserait .
29   qu' est                       ke                           alors qu' est ce que tu
30   l' éléphant                   le-le-f@                     tu remets l' éléphant ?
31   c' est                        se                           , ça c' est très
31   très amusant                  tRE za-my-z@                  est très très amusant ,
32   qu' il                        kil                          est ce qu' il va
32   petit éléphant                p°-ti te-le-f@                aller le petit éléphant ?
34   qu' il                        kil                          est ce qu' il va
34   petit éléphant                p°-ti te-le-f@                va le petit éléphant ?
35   l' éléphant                   le-le-f@                     tête de l' éléphant .
36   il est                        i le                          en fait il est compliqué ce
36   qu' il                        kil                          puzzle parce qu' il y
36   il y                          ki li                         parce qu' il y a
36   l' image                      li-maZ                       le , l' image .
37   c' est                        set                          mais ça c' est à Victor
37   est à                         se ta                         ça c' est à Victor
37   il est                        i le                          puzzle , il est pas
38   puzzles à                     p9z la                        ses puzzles à lui ils sont
38   l' instant                    l5s-t@                       consignés pour l' instant parce
40   t' as                         ta                           alors t' as pas de chance
42   c' est                        set                          c' est un pauvre enfant .
42   est un                        se t1                         c' est un pauvre enfant .
42   pauvre enfant                 pov R@-f@                     est un pauvre enfant .
43   vous allez                    vu za-le                      vous allez voir ça tout de
44   c' est                        se                           ça c' est le puzzle de
45   certaines interprétations     sER-tEn z5-tER-pRe-ta-sj§     que pour certaines interprétations il
45   il y                          i li                          que vraisemblablement il y aura
45   j' arriverai                  Za-Ri-vRE                    mots que j' arriverai pas
46   c' est                        se                           ça c' est le puzzle d'
46   d' Adrien                     da-dRi-j5                    le puzzle d' Adrien .
47   c' est                        se                           ça c' est le puzzle de
48   il y                          i li                          façons aussi il y aura
48   repère assez                  R°-pE Ra-se                   aura un repère assez facile
48   quand il                      k@ til                        parce que quand il se
48   en articulant                 @ naR-ti-ky-l@                renforce , en articulant correctement
50   donc en                       d§ k@                         donc en fait vous aurez la
50   vous aurez                    vu zo-Re                      en fait vous aurez la
51   il est                        i le                          il est mignon !
52   c' est                        se                           ça c' est le .
53   c' est                        se                           ça c' est le puzzle à
53   puzzle à                      p9z la                        est le puzzle à Victor
54   d' accord                     da-kOR                       d' accord ?
