1      sont elles                    s§ tEl                        quelle couleur sont elles ,
2      regarde un                    R°-gaR d1                     regarde un peu dans la boîte
4      donne un                      dO n1                         donne un peu à Mamy une
5      QU' est-ce                    kEs                          QU' est-ce qu' on va faire
5      qu' on                        k§                           QU' est-ce qu' on va faire
5      faire avec                    fE Ra-vEk                     on va faire avec la
6      QU' est-ce                    kEs                          QU' est-ce qu' on va faire
6      qu' on                        k§                           QU' est-ce qu' on va faire
6      faire avec                    fE Ra-vEk                     on va faire avec la
8      L' ai                         lE                           je L' ai , l' aiguille
8      l' aiguille                   le-g8ij                      ai , l' aiguille .
9      c(e) est                      se                           c(e) est moi qui L' ai
9      L' ai                         lE                           moi qui L' ai .
11     c(e) est                      se                           fil , c(e) est moi
11     L' ai                         lE                           moi qui L' ai .
15     n' en                         n@n                          on n' en a pas besoin
15     en a                          n@ na                         on n' en a pas besoin
16     donnes à                      dO na                         tu LA donnes à QUI
24     donne à                       dO na                         donne à Mamy !
25     c(e) est                      se                           c(e) est pour quoi faire ,
26     c(e) est                      se                           c(e) est pour moi ?
29     c(e) est                      se                           c(e) est bien , ma chérie
30     c(e) est                      se                           c(e) est bien .
32     elle est                      E le                          elle est là ?
33     L' enfile                     l@-fil                       que je L' enfile !
35     l' aiguille                   le-g8ij                      besoin de l' aiguille ?
38     c(e) est                      se                           hein , c(e) est comme
39     c(e) est                      se                           c(e) est la même aiguille .
39     même aiguille                 mE me-g8ij                    est la même aiguille .
40     donnes une                    dO nyn                        tu ME donnes une perle ?
42     QU' est-ce                    kEs                          QU' est-ce qu' on peut faire
42     qu' on                        k§                           QU' est-ce qu' on peut faire
42     faire avec                    fE Ra-vEk                     on peut faire avec des
43     faire un                      fE R1                         faire un collier ?
48     c(e) est                      se                           et c(e) est tout ?
49     n' aimes                      nEm                          tu n' aimes pas autre chose
49     chose encore                  So z@-kOR                     pas autre chose encore ?
52     faire un                      fE R1                         il faut faire un collier pour
53     elle aime                     E lEm                         ah elle aime bien les colliers
54     c(e) est                      se                           c(e) est QUI , ça ,
55     c(e) est                      se                           c(e) est ton copain ?
56     n' est-ce                     nEs                          n' est-ce pas une petite fille
57     c(e) est                      se                           c(e) est ta copine alors ?
57     copine alors                  ko-pi na-lOR                  est ta copine alors ?
58     c(e) est                      se                           c(e) est une petite copine ,
60     elle est                      E le                          elle est grande , minnie ?
61     L' aimes                      lEm                          tu L' aimes elle est plus
61     aimes elle                    lE mEl                        tu L' aimes elle est plus
61     elle est                      mE le                         L' aimes elle est plus
74     on arrête                     § na-REt                      sinon on arrête avec les perles
74     arrête avec                   na-RE ta-vEk                  sinon on arrête avec les perles
79     perles à                      pER la                        passe tes perles à Mamy !
80     M' en                         m@                           LES tu M' en donnes
80     donnes une                    dO nyn                        M' en donnes une à
80     une à                         ny na                         en donnes une à une
81     M' en                         m@                           tu M' en donnes une à
81     donnes une                    dO nyn                        M' en donnes une à
